category,subcategory,merchant_name,amount,transaction_type,description,frequency,day_of_month,typical_hour,min_income,max_income,age_group,city_tier,lifestyle,is_emi,is_subscription,is_fraud_pattern,fraud_type,seasonal_tag
festival,holi,Big Bazaar Holi,5044.0,DEBIT,Seasonal spend (holi),seasonal,,17,20000.0,104000.0,22-28,1,moderate,False,False,False,,holi
income,salary,Salary Credit — Accenture,153009.0,CREDIT,Monthly salary NEFT,monthly,5,2,127500.0,345000.0,45-55,2,premium,False,False,False,,
subscription,ott_or_saas,Zee5 Subscription,84.0,DEBIT,Auto-debit subscription renewal,monthly,4,19,12500.0,48000.0,28-35,2,budget,False,True,False,,
entertainment,leisure,BookMyShow,1831.0,DEBIT,BookMyShow — Entertainment,random,,9,16000.0,100000.0,35-45,3,moderate,False,False,False,,
shopping,retail,Nykaa,1999.0,DEBIT,Nykaa — Shopping,random,,22,16000.0,100000.0,35-45,2,moderate,False,False,False,,
shopping,retail,Nykaa,3001.0,DEBIT,Nykaa — Shopping,random,,17,32000.0,187500.0,28-35,1,premium,False,False,False,,
transport,mobility,Uber India,200.0,DEBIT,Uber India — Transport,random,,15,10000.0,50000.0,28-35,2,budget,False,False,False,,
festival,diwali,Myntra Diwali Sale,4303.0,DEBIT,Seasonal spend (diwali),seasonal,,16,40000.0,195000.0,45-55,1,premium,False,False,False,,diwali
transport,mobility,Metro Recharge DMRC,547.0,DEBIT,Metro Recharge DMRC — Transport,random,,15,16000.0,100000.0,28-35,1,moderate,False,False,False,,
festival,holi,Big Bazaar Holi,5727.0,DEBIT,Seasonal spend (holi),seasonal,,17,75000.0,390000.0,35-45,2,premium,False,False,False,,holi
health,wellness,Thyrocare Labs,4269.0,DEBIT,Thyrocare Labs — Health,random,,9,60000.0,375000.0,45-55,1,premium,False,False,False,,
subscription,ott_or_saas,Kindle Unlimited,156.0,DEBIT,Auto-debit subscription renewal,monthly,16,21,20000.0,96000.0,28-35,1,moderate,False,True,False,,
transport,mobility,Rapido,112.0,DEBIT,Rapido — Transport,random,,22,16000.0,100000.0,35-45,3,moderate,False,False,False,,
income,salary,Salary Credit — Swiggy,196832.0,CREDIT,Monthly salary NEFT,monthly,1,2,127500.0,345000.0,45-55,2,premium,False,False,False,,
emi,personal_loan,NAVI PERSONAL LOAN,18353.0,DEBIT,Personal loan EMI NACH,monthly,15,7,22400.0,144000.0,22-28,3,premium,True,False,False,,
festival,diwali,Amazon Great Indian Festival,21700.0,DEBIT,Seasonal spend (diwali),seasonal,,18,20000.0,104000.0,35-45,3,moderate,False,False,False,,diwali
utility,bills,Jio Prepaid Recharge,664.0,DEBIT,Jio Prepaid Recharge — Recharge,monthly,11,21,16000.0,100000.0,22-28,1,moderate,False,False,False,,
food,dining,Swiggy,349.0,DEBIT,Swiggy — Food,random,,19,60000.0,375000.0,45-55,1,premium,False,False,False,,
entertainment,leisure,PVR Cinemas,567.0,DEBIT,PVR Cinemas — Entertainment,random,,17,32000.0,187500.0,45-55,2,premium,False,False,False,,
subscription,ott_or_saas,Zee5 Subscription,99.0,DEBIT,Auto-debit subscription renewal,monthly,12,11,20000.0,96000.0,35-45,2,moderate,False,True,False,,
entertainment,leisure,Insider.in Events,1398.0,DEBIT,Insider.in Events — Entertainment,random,,9,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Chai Point,165.0,DEBIT,Chai Point — Food,random,,16,10000.0,50000.0,22-28,3,budget,False,False,False,,
utility,bills,BESCOM Electricity,2384.0,DEBIT,BESCOM Electricity — Utilities,monthly,18,13,16000.0,100000.0,35-45,2,moderate,False,False,False,,
transport,mobility,Uber India,206.0,DEBIT,Uber India — Transport,random,,17,32000.0,187500.0,35-45,2,premium,False,False,False,,
food,dining,Blinkit,285.0,DEBIT,Blinkit — Groceries,random,,13,16000.0,100000.0,22-28,2,moderate,False,False,False,,
utility,bills,Jio Prepaid Recharge,355.0,DEBIT,Jio Prepaid Recharge — Recharge,monthly,14,18,32000.0,187500.0,35-45,1,premium,False,False,False,,
utility,bills,Airtel Xstream Fiber,1526.0,DEBIT,Airtel Xstream Fiber — Utilities,monthly,11,10,16000.0,100000.0,28-35,3,moderate,False,False,False,,
income,salary,Salary Credit — Wipro,36199.0,CREDIT,Monthly salary NEFT,monthly,5,1,21250.0,46000.0,22-28,3,budget,False,False,False,,
transport,mobility,Shell Petrol Pump,657.0,DEBIT,Shell Petrol Pump — Transport,random,,19,10000.0,50000.0,22-28,3,budget,False,False,False,,
health,wellness,Netmeds,891.0,DEBIT,Netmeds — Health,random,,13,16000.0,100000.0,35-45,3,moderate,False,False,False,,
emi,car_loan,HDFC CAR LOAN EMI,14226.0,DEBIT,Car loan EMI NACH,monthly,2,10,31499.0,202500.0,35-45,3,moderate,True,False,False,,
subscription,ott_or_saas,Disney Hotstar,313.0,DEBIT,Auto-debit subscription renewal,monthly,23,15,20000.0,96000.0,35-45,2,moderate,False,True,False,,
subscription,ott_or_saas,Times Prime,1048.0,DEBIT,Auto-debit subscription renewal,monthly,24,17,40000.0,180000.0,35-45,1,premium,False,True,False,,
food,dining,BigBasket,3148.0,DEBIT,BigBasket — Groceries,random,,13,16000.0,100000.0,28-35,2,moderate,False,False,False,,
transport,mobility,Uber India,714.0,DEBIT,Uber India — Transport,random,,17,16000.0,100000.0,35-45,2,moderate,False,False,False,,
emi,personal_loan,NAVI PERSONAL LOAN,18659.0,DEBIT,Personal loan EMI NACH,monthly,5,7,22400.0,144000.0,28-35,2,premium,True,False,False,,
income,salary,Salary Credit — TCS,39242.0,CREDIT,Monthly salary NEFT,monthly,2,8,21250.0,46000.0,28-35,2,budget,False,False,False,,
transport,mobility,HPCL Fuel,580.0,DEBIT,HPCL Fuel — Transport,random,,15,16000.0,100000.0,35-45,3,moderate,False,False,False,,
misc,general,Mutual Fund SIP HDFC,7708.0,DEBIT,Mutual Fund SIP HDFC — Investment,random,,18,16000.0,100000.0,28-35,2,moderate,False,False,False,,
income,salary,Salary Credit — Deloitte,84207.0,CREDIT,Monthly salary NEFT,monthly,4,2,68000.0,172500.0,28-35,1,premium,False,False,False,,
fraud,duplicate_charge,Swiggy,6493.0,DEBIT,Duplicate charge pattern,random,,18,20000.0,96000.0,28-35,1,moderate,False,False,True,duplicate,
shopping,retail,Reliance Digital,29674.0,DEBIT,Reliance Digital — Shopping,random,,16,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Thali House Indiranagar,407.0,DEBIT,Thali House Indiranagar — Food,random,,10,16000.0,100000.0,22-28,2,moderate,False,False,False,,
emi,personal_loan,NAVI PERSONAL LOAN,8114.0,DEBIT,Personal loan EMI NACH,monthly,12,9,22400.0,144000.0,45-55,1,moderate,True,False,False,,
shopping,retail,Croma Retail,42980.0,DEBIT,Croma Retail — Shopping,random,,15,60000.0,375000.0,35-45,1,premium,False,False,False,,
food,dining,Dunzo Daily,1159.0,DEBIT,Dunzo Daily — Groceries,random,,15,10000.0,50000.0,22-28,2,budget,False,False,False,,
misc,general,Insurance LIC Premium,8211.0,DEBIT,Insurance LIC Premium — Bills,random,,22,16000.0,100000.0,22-28,2,moderate,False,False,False,,
shopping,retail,Croma Retail,44370.0,DEBIT,Croma Retail — Shopping,random,,18,10000.0,50000.0,28-35,2,budget,False,False,False,,
transport,mobility,Ola Cabs,420.0,DEBIT,Ola Cabs — Transport,random,,21,16000.0,100000.0,28-35,2,moderate,False,False,False,,
festival,diwali,Amazon Great Indian Festival,10483.0,DEBIT,Seasonal spend (diwali),seasonal,,21,12500.0,52000.0,22-28,2,budget,False,False,False,,diwali
utility,bills,Airtel Prepaid,524.0,DEBIT,Airtel Prepaid — Recharge,monthly,11,15,60000.0,375000.0,35-45,1,premium,False,False,False,,
emi,car_loan,ICICI AUTO LOAN,16828.0,DEBIT,Car loan EMI NACH,monthly,4,9,31499.0,202500.0,28-35,1,moderate,True,False,False,,
shopping,retail,Nykaa,3315.0,DEBIT,Nykaa — Shopping,random,,20,16000.0,100000.0,28-35,3,moderate,False,False,False,,
subscription,ott_or_saas,Zee5 Subscription,84.0,DEBIT,Auto-debit subscription renewal,monthly,15,11,40000.0,180000.0,28-35,1,premium,False,True,False,,
shopping,retail,Reliance Digital,24976.0,DEBIT,Reliance Digital — Shopping,random,,16,10000.0,50000.0,22-28,2,budget,False,False,False,,
utility,bills,ACT Fibernet,1036.0,DEBIT,ACT Fibernet — Utilities,monthly,18,20,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Croma Retail,38137.0,DEBIT,Croma Retail — Shopping,random,,9,60000.0,375000.0,45-55,2,premium,False,False,False,,
misc,general,Insurance LIC Premium,9352.0,DEBIT,Insurance LIC Premium — Bills,random,,18,16000.0,100000.0,22-28,2,moderate,False,False,False,,
income,salary,Salary Credit — HCL Tech,78242.0,CREDIT,Monthly salary NEFT,monthly,3,1,34000.0,92000.0,35-45,2,moderate,False,False,False,,
subscription,ott_or_saas,Kindle Unlimited,156.0,DEBIT,Auto-debit subscription renewal,monthly,21,12,12500.0,48000.0,22-28,3,budget,False,True,False,,
food,dining,Chai Point,185.0,DEBIT,Chai Point — Food,random,,11,16000.0,100000.0,22-28,1,moderate,False,False,False,,
food,dining,Chai Point,117.0,DEBIT,Chai Point — Food,random,,20,16000.0,100000.0,22-28,1,moderate,False,False,False,,
utility,bills,Jio Prepaid Recharge,538.0,DEBIT,Jio Prepaid Recharge — Recharge,monthly,9,12,32000.0,187500.0,28-35,2,premium,False,False,False,,
health,wellness,Thyrocare Labs,1542.0,DEBIT,Thyrocare Labs — Health,random,,17,16000.0,100000.0,35-45,1,moderate,False,False,False,,
shopping,retail,Amazon India,7185.0,DEBIT,Amazon India — Shopping,random,,14,10000.0,50000.0,22-28,2,budget,False,False,False,,
emi,personal_loan,KREDITBEE EMI,19327.0,DEBIT,Personal loan EMI NACH,monthly,13,10,22400.0,144000.0,28-35,3,moderate,True,False,False,,
food,dining,Zepto,1450.0,DEBIT,Zepto — Groceries,random,,21,16000.0,100000.0,28-35,1,moderate,False,False,False,,
entertainment,leisure,PVR Cinemas,727.0,DEBIT,PVR Cinemas — Entertainment,random,,15,10000.0,50000.0,22-28,2,budget,False,False,False,,
food,dining,Dunzo Daily,1050.0,DEBIT,Dunzo Daily — Groceries,random,,22,60000.0,375000.0,35-45,1,premium,False,False,False,,
income,salary,Salary Credit — Infosys,173831.0,CREDIT,Monthly salary NEFT,monthly,1,1,127500.0,345000.0,35-45,1,premium,False,False,False,,
emi,bike_loan,HDFC BIKE LOAN,5533.0,DEBIT,Bike loan EMI NACH,monthly,7,11,19600.0,126000.0,22-28,2,premium,True,False,False,,
misc,general,ICICI Lombard Health,6967.0,DEBIT,ICICI Lombard Health — Health,random,,13,16000.0,100000.0,22-28,1,moderate,False,False,False,,
emi,home_loan,ICICI HOME FINANCE,48780.0,DEBIT,Home loan EMI NACH,monthly,14,7,38500.0,247500.0,45-55,1,premium,True,False,False,,
festival,holi,Big Bazaar Holi,6905.0,DEBIT,Seasonal spend (holi),seasonal,,18,12500.0,52000.0,22-28,2,budget,False,False,False,,holi
subscription,ott_or_saas,Times Prime,999.0,DEBIT,Auto-debit subscription renewal,monthly,6,17,20000.0,96000.0,28-35,2,moderate,False,True,False,,
food,dining,Blinkit,1115.0,DEBIT,Blinkit — Groceries,random,,10,32000.0,187500.0,35-45,1,premium,False,False,False,,
shopping,retail,Amazon India,2064.0,DEBIT,Amazon India — Shopping,random,,12,32000.0,187500.0,28-35,1,premium,False,False,False,,
shopping,retail,Flipkart,4541.0,DEBIT,Flipkart — Shopping,random,,18,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Dunzo Daily,771.0,DEBIT,Dunzo Daily — Groceries,random,,10,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Reliance Digital,17184.0,DEBIT,Reliance Digital — Shopping,random,,9,10000.0,50000.0,28-35,2,budget,False,False,False,,
subscription,ott_or_saas,Sony LIV,299.0,DEBIT,Auto-debit subscription renewal,monthly,1,11,40000.0,180000.0,45-55,1,premium,False,True,False,,
income,salary,Salary Credit — Infosys,38223.0,CREDIT,Monthly salary NEFT,monthly,4,9,21250.0,46000.0,22-28,3,budget,False,False,False,,
entertainment,leisure,PVR Cinemas,1380.0,DEBIT,PVR Cinemas — Entertainment,random,,12,60000.0,375000.0,35-45,2,premium,False,False,False,,
utility,bills,Adani Electricity Mumbai,3734.0,DEBIT,Adani Electricity Mumbai — Utilities,monthly,26,20,16000.0,100000.0,35-45,2,moderate,False,False,False,,
health,wellness,Thyrocare Labs,2368.0,DEBIT,Thyrocare Labs — Health,random,,10,32000.0,187500.0,45-55,1,premium,False,False,False,,
subscription,ott_or_saas,Zee5 Subscription,103.0,DEBIT,Auto-debit subscription renewal,monthly,19,20,20000.0,96000.0,22-28,2,moderate,False,True,False,,
entertainment,leisure,Steam Purchase,1470.0,DEBIT,Steam Purchase — Entertainment,random,,13,16000.0,100000.0,35-45,3,moderate,False,False,False,,
emi,personal_loan,KREDITBEE EMI,13834.0,DEBIT,Personal loan EMI NACH,monthly,4,9,22400.0,144000.0,35-45,3,premium,True,False,False,,
transport,mobility,Metro Recharge DMRC,492.0,DEBIT,Metro Recharge DMRC — Transport,random,,19,32000.0,187500.0,35-45,2,premium,False,False,False,,
emi,car_loan,SBI AUTO FINANCE,26132.0,DEBIT,Car loan EMI NACH,monthly,10,8,31499.0,202500.0,28-35,2,moderate,True,False,False,,
transport,mobility,Rapido,56.0,DEBIT,Rapido — Transport,random,,10,32000.0,187500.0,28-35,1,premium,False,False,False,,
entertainment,leisure,BookMyShow,536.0,DEBIT,BookMyShow — Entertainment,random,,17,32000.0,187500.0,45-55,1,premium,False,False,False,,
food,dining,Chai Point,130.0,DEBIT,Chai Point — Food,random,,14,60000.0,375000.0,45-55,1,premium,False,False,False,,
emi,car_loan,HDFC CAR LOAN EMI,15176.0,DEBIT,Car loan EMI NACH,monthly,7,9,31499.0,202500.0,22-28,2,premium,True,False,False,,
festival,diwali,Amazon Great Indian Festival,13549.0,DEBIT,Seasonal spend (diwali),seasonal,,19,75000.0,390000.0,45-55,2,premium,False,False,False,,diwali
transport,mobility,HPCL Fuel,1115.0,DEBIT,HPCL Fuel — Transport,random,,14,16000.0,100000.0,35-45,2,moderate,False,False,False,,
shopping,retail,Croma Retail,9153.0,DEBIT,Croma Retail — Shopping,random,,12,16000.0,100000.0,28-35,2,moderate,False,False,False,,
emi,home_loan,AXIS HOME LOAN,15967.0,DEBIT,Home loan EMI NACH,monthly,3,9,38500.0,247500.0,28-35,1,premium,True,False,False,,
utility,bills,MSEDCL Bill Pay,1699.0,DEBIT,MSEDCL Bill Pay — Utilities,monthly,23,20,60000.0,375000.0,45-55,2,premium,False,False,False,,
food,dining,Zepto,1133.0,DEBIT,Zepto — Groceries,random,,22,32000.0,187500.0,28-35,2,premium,False,False,False,,
shopping,retail,Amazon India,4705.0,DEBIT,Amazon India — Shopping,random,,22,16000.0,100000.0,35-45,2,moderate,False,False,False,,
subscription,ott_or_saas,Netflix India,551.0,DEBIT,Auto-debit subscription renewal,monthly,21,14,20000.0,96000.0,35-45,1,moderate,False,True,False,,
food,dining,Starbucks India,401.0,DEBIT,Starbucks India — Food,random,,12,16000.0,100000.0,22-28,3,moderate,False,False,False,,
shopping,retail,Reliance Digital,31762.0,DEBIT,Reliance Digital — Shopping,random,,20,10000.0,50000.0,22-28,2,budget,False,False,False,,
emi,bike_loan,BAJAJ FINSERV TWO WHEELER,5175.0,DEBIT,Bike loan EMI NACH,monthly,11,11,19600.0,126000.0,22-28,1,premium,True,False,False,,
food,dining,BigBasket,1533.0,DEBIT,BigBasket — Groceries,random,,18,10000.0,50000.0,28-35,2,budget,False,False,False,,
health,wellness,Apollo Pharmacy,965.0,DEBIT,Apollo Pharmacy — Health,random,,10,10000.0,50000.0,22-28,3,budget,False,False,False,,
food,dining,Thali House Indiranagar,257.0,DEBIT,Thali House Indiranagar — Food,random,,16,16000.0,100000.0,35-45,2,moderate,False,False,False,,
subscription,ott_or_saas,Apple Music India,103.0,DEBIT,Auto-debit subscription renewal,monthly,20,16,12500.0,48000.0,22-28,3,budget,False,True,False,,
shopping,retail,Myntra,3485.0,DEBIT,Myntra — Shopping,random,,13,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Ajio,4549.0,DEBIT,Ajio — Shopping,random,,9,16000.0,100000.0,22-28,1,moderate,False,False,False,,
festival,diwali,Local Sweet Shop,4231.0,DEBIT,Seasonal spend (diwali),seasonal,,20,75000.0,390000.0,35-45,1,premium,False,False,False,,diwali
transport,mobility,Rapido,107.0,DEBIT,Rapido — Transport,random,,19,16000.0,100000.0,22-28,3,moderate,False,False,False,,
health,wellness,PharmEasy,837.0,DEBIT,PharmEasy — Health,random,,9,16000.0,100000.0,28-35,2,moderate,False,False,False,,
transport,mobility,Shell Petrol Pump,1496.0,DEBIT,Shell Petrol Pump — Transport,random,,17,10000.0,50000.0,28-35,3,budget,False,False,False,,
shopping,retail,Reliance Digital,11306.0,DEBIT,Reliance Digital — Shopping,random,,13,16000.0,100000.0,22-28,1,moderate,False,False,False,,
food,dining,Zomato,639.0,DEBIT,Zomato — Food,random,,14,32000.0,187500.0,45-55,2,premium,False,False,False,,
shopping,retail,Ajio,1468.0,DEBIT,Ajio — Shopping,random,,14,16000.0,100000.0,22-28,2,moderate,False,False,False,,
misc,general,Mutual Fund SIP HDFC,8052.0,DEBIT,Mutual Fund SIP HDFC — Investment,random,,20,60000.0,375000.0,45-55,1,premium,False,False,False,,
emi,home_loan,HDFC HOME LOAN EMI,18972.0,DEBIT,Home loan EMI NACH,monthly,13,6,38500.0,247500.0,22-28,2,moderate,True,False,False,,
income,salary,Salary Credit — EY India,100032.0,CREDIT,Monthly salary NEFT,monthly,2,9,68000.0,172500.0,45-55,1,premium,False,False,False,,
food,dining,Zepto,828.0,DEBIT,Zepto — Groceries,random,,10,32000.0,187500.0,35-45,1,premium,False,False,False,,
food,dining,Zepto,879.0,DEBIT,Zepto — Groceries,random,,15,16000.0,100000.0,35-45,1,moderate,False,False,False,,
income,salary,Salary Credit — Wipro,117930.0,CREDIT,Monthly salary NEFT,monthly,2,0,68000.0,172500.0,28-35,1,premium,False,False,False,,
emi,personal_loan,KREDITBEE EMI,19166.0,DEBIT,Personal loan EMI NACH,monthly,3,9,22400.0,144000.0,22-28,1,moderate,True,False,False,,
shopping,retail,Myntra,5206.0,DEBIT,Myntra — Shopping,random,,15,16000.0,100000.0,35-45,2,moderate,False,False,False,,
fraud,duplicate_charge,Flipkart,572.0,DEBIT,Duplicate charge pattern,random,,12,40000.0,180000.0,28-35,1,premium,False,False,True,duplicate,
emi,bike_loan,BAJAJ FINSERV TWO WHEELER,3410.0,DEBIT,Bike loan EMI NACH,monthly,1,10,19600.0,126000.0,22-28,1,moderate,True,False,False,,
transport,mobility,Metro Recharge DMRC,562.0,DEBIT,Metro Recharge DMRC — Transport,random,,10,32000.0,187500.0,35-45,1,premium,False,False,False,,
subscription,ott_or_saas,Spotify India,156.0,DEBIT,Auto-debit subscription renewal,monthly,23,20,40000.0,180000.0,45-55,1,premium,False,True,False,,
shopping,retail,Croma Retail,13443.0,DEBIT,Croma Retail — Shopping,random,,16,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,Starbucks India,564.0,DEBIT,Starbucks India — Food,random,,9,16000.0,100000.0,28-35,2,moderate,False,False,False,,
transport,mobility,Rapido,57.0,DEBIT,Rapido — Transport,random,,11,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Flipkart,8776.0,DEBIT,Flipkart — Shopping,random,,17,60000.0,375000.0,35-45,2,premium,False,False,False,,
transport,mobility,HPCL Fuel,1762.0,DEBIT,HPCL Fuel — Transport,random,,21,16000.0,100000.0,22-28,2,moderate,False,False,False,,
health,wellness,PharmEasy,1515.0,DEBIT,PharmEasy — Health,random,,19,10000.0,50000.0,22-28,2,budget,False,False,False,,
food,dining,Zomato,701.0,DEBIT,Zomato — Food,random,,9,60000.0,375000.0,35-45,1,premium,False,False,False,,
festival,holi,Big Bazaar Holi,801.0,DEBIT,Seasonal spend (holi),seasonal,,20,40000.0,195000.0,35-45,1,premium,False,False,False,,holi
income,salary,Salary Credit — EY India,29803.0,CREDIT,Monthly salary NEFT,monthly,5,1,21250.0,46000.0,22-28,2,budget,False,False,False,,
shopping,retail,Ajio,2877.0,DEBIT,Ajio — Shopping,random,,20,10000.0,50000.0,22-28,3,budget,False,False,False,,
health,wellness,PharmEasy,1618.0,DEBIT,PharmEasy — Health,random,,9,16000.0,100000.0,22-28,3,moderate,False,False,False,,
shopping,retail,Nykaa,2522.0,DEBIT,Nykaa — Shopping,random,,11,60000.0,375000.0,35-45,2,premium,False,False,False,,
utility,bills,BESCOM Electricity,2045.0,DEBIT,BESCOM Electricity — Utilities,monthly,27,18,16000.0,100000.0,28-35,2,moderate,False,False,False,,
shopping,retail,Croma Retail,7923.0,DEBIT,Croma Retail — Shopping,random,,20,16000.0,100000.0,28-35,2,moderate,False,False,False,,
food,dining,Swiggy,399.0,DEBIT,Swiggy — Food,random,,16,60000.0,375000.0,45-55,1,premium,False,False,False,,
emi,home_loan,AXIS HOME LOAN,43479.0,DEBIT,Home loan EMI NACH,monthly,7,10,38500.0,247500.0,45-55,2,moderate,True,False,False,,
transport,mobility,Metro Recharge DMRC,500.0,DEBIT,Metro Recharge DMRC — Transport,random,,17,16000.0,100000.0,22-28,2,moderate,False,False,False,,
misc,general,ICICI Lombard Health,6764.0,DEBIT,ICICI Lombard Health — Health,random,,22,16000.0,100000.0,35-45,3,moderate,False,False,False,,
food,dining,Dunzo Daily,1090.0,DEBIT,Dunzo Daily — Groceries,random,,22,16000.0,100000.0,22-28,1,moderate,False,False,False,,
emi,car_loan,HDFC CAR LOAN EMI,13029.0,DEBIT,Car loan EMI NACH,monthly,9,7,31499.0,202500.0,45-55,1,premium,True,False,False,,
utility,bills,BESCOM Electricity,1691.0,DEBIT,BESCOM Electricity — Utilities,monthly,6,18,32000.0,187500.0,35-45,1,premium,False,False,False,,
food,dining,Blinkit,648.0,DEBIT,Blinkit — Groceries,random,,11,16000.0,100000.0,35-45,2,moderate,False,False,False,,
transport,mobility,Rapido,54.0,DEBIT,Rapido — Transport,random,,19,16000.0,100000.0,35-45,2,moderate,False,False,False,,
subscription,ott_or_saas,YouTube Premium India,129.0,DEBIT,Auto-debit subscription renewal,monthly,11,12,20000.0,96000.0,28-35,2,moderate,False,True,False,,
shopping,retail,Flipkart,11248.0,DEBIT,Flipkart — Shopping,random,,14,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Reliance Digital,18144.0,DEBIT,Reliance Digital — Shopping,random,,19,32000.0,187500.0,28-35,1,premium,False,False,False,,
health,wellness,Netmeds,352.0,DEBIT,Netmeds — Health,random,,19,60000.0,375000.0,45-55,1,premium,False,False,False,,
food,dining,Dunzo Daily,529.0,DEBIT,Dunzo Daily — Groceries,random,,13,10000.0,50000.0,22-28,3,budget,False,False,False,,
festival,diwali,Local Sweet Shop,14605.0,DEBIT,Seasonal spend (diwali),seasonal,,20,12500.0,52000.0,22-28,2,budget,False,False,False,,diwali
utility,bills,Airtel Prepaid,647.0,DEBIT,Airtel Prepaid — Recharge,monthly,8,9,32000.0,187500.0,35-45,1,premium,False,False,False,,
income,salary,Salary Credit — Amazon India,114718.0,CREDIT,Monthly salary NEFT,monthly,2,9,68000.0,172500.0,45-55,1,premium,False,False,False,,
utility,bills,Jio Prepaid Recharge,446.0,DEBIT,Jio Prepaid Recharge — Recharge,monthly,11,13,16000.0,100000.0,22-28,2,moderate,False,False,False,,
misc,general,Urban Company,885.0,DEBIT,Urban Company — Utilities,random,,12,16000.0,100000.0,22-28,2,moderate,False,False,False,,
shopping,retail,Flipkart,1096.0,DEBIT,Flipkart — Shopping,random,,16,32000.0,187500.0,35-45,1,premium,False,False,False,,
utility,bills,MSEDCL Bill Pay,887.0,DEBIT,MSEDCL Bill Pay — Utilities,monthly,10,18,60000.0,375000.0,45-55,2,premium,False,False,False,,
shopping,retail,Myntra,1665.0,DEBIT,Myntra — Shopping,random,,17,10000.0,50000.0,22-28,3,budget,False,False,False,,
shopping,retail,Ajio,4436.0,DEBIT,Ajio — Shopping,random,,14,16000.0,100000.0,28-35,1,moderate,False,False,False,,
food,dining,Thali House Indiranagar,225.0,DEBIT,Thali House Indiranagar — Food,random,,14,32000.0,187500.0,45-55,1,premium,False,False,False,,
emi,car_loan,SBI AUTO FINANCE,21338.0,DEBIT,Car loan EMI NACH,monthly,14,10,31499.0,202500.0,35-45,3,premium,True,False,False,,
utility,bills,Jio Prepaid Recharge,562.0,DEBIT,Jio Prepaid Recharge — Recharge,monthly,5,14,16000.0,100000.0,22-28,2,moderate,False,False,False,,
food,dining,Thali House Indiranagar,422.0,DEBIT,Thali House Indiranagar — Food,random,,20,10000.0,50000.0,22-28,2,budget,False,False,False,,
food,dining,Zomato,757.0,DEBIT,Zomato — Food,random,,13,32000.0,187500.0,35-45,1,premium,False,False,False,,
festival,diwali,Amazon Great Indian Festival,19241.0,DEBIT,Seasonal spend (diwali),seasonal,,14,20000.0,104000.0,35-45,2,moderate,False,False,False,,diwali
food,dining,BigBasket,2060.0,DEBIT,BigBasket — Groceries,random,,19,32000.0,187500.0,45-55,2,premium,False,False,False,,
festival,diwali,Local Sweet Shop,9339.0,DEBIT,Seasonal spend (diwali),seasonal,,19,12500.0,52000.0,22-28,2,budget,False,False,False,,diwali
entertainment,leisure,Insider.in Events,3635.0,DEBIT,Insider.in Events — Entertainment,random,,11,16000.0,100000.0,22-28,1,moderate,False,False,False,,
health,wellness,Practo Consult,1071.0,DEBIT,Practo Consult — Health,random,,11,60000.0,375000.0,45-55,1,premium,False,False,False,,
shopping,retail,Reliance Digital,21576.0,DEBIT,Reliance Digital — Shopping,random,,19,16000.0,100000.0,35-45,1,moderate,False,False,False,,
fraud,duplicate_charge,Flipkart,572.0,DEBIT,Duplicate charge pattern,random,,12,40000.0,180000.0,28-35,1,premium,False,False,True,duplicate,
emi,car_loan,SBI AUTO FINANCE,26413.0,DEBIT,Car loan EMI NACH,monthly,4,8,31499.0,202500.0,28-35,2,premium,True,False,False,,
emi,personal_loan,NAVI PERSONAL LOAN,17279.0,DEBIT,Personal loan EMI NACH,monthly,14,7,22400.0,144000.0,35-45,1,moderate,True,False,False,,
emi,home_loan,AXIS HOME LOAN,34620.0,DEBIT,Home loan EMI NACH,monthly,5,6,38500.0,247500.0,28-35,1,moderate,True,False,False,,
misc,general,Urban Company,2196.0,DEBIT,Urban Company — Utilities,random,,14,16000.0,100000.0,35-45,1,moderate,False,False,False,,
transport,mobility,Metro Recharge DMRC,429.0,DEBIT,Metro Recharge DMRC — Transport,random,,19,16000.0,100000.0,35-45,2,moderate,False,False,False,,
utility,bills,MSEDCL Bill Pay,2784.0,DEBIT,MSEDCL Bill Pay — Utilities,monthly,4,19,10000.0,50000.0,22-28,2,budget,False,False,False,,
shopping,retail,Nykaa,3925.0,DEBIT,Nykaa — Shopping,random,,14,10000.0,50000.0,28-35,2,budget,False,False,False,,
transport,mobility,Metro Recharge DMRC,448.0,DEBIT,Metro Recharge DMRC — Transport,random,,18,10000.0,50000.0,22-28,3,budget,False,False,False,,
subscription,ott_or_saas,Disney Hotstar,254.0,DEBIT,Auto-debit subscription renewal,monthly,22,18,20000.0,96000.0,22-28,2,moderate,False,True,False,,
shopping,retail,Amazon India,8388.0,DEBIT,Amazon India — Shopping,random,,12,10000.0,50000.0,22-28,2,budget,False,False,False,,
festival,holi,Big Bazaar Holi,6799.0,DEBIT,Seasonal spend (holi),seasonal,,17,20000.0,104000.0,35-45,2,moderate,False,False,False,,holi
